永続的識別子,タイトル,著者,出版者,出版日（W3CDTF）,商品番号,歴史的音源ジャンル,公開範囲,権利区分
info:ndljp/pid/8267138,八丈島民謠　日和申す（出船の唄）・小島の念佛,宇津木村有志,NHK　Vinycord,1952-05,VC-68-B,民謡、国民音楽（日本）,インターネット公開,保護期間満了
info:ndljp/pid/8270778,ワカナの国策百貨店（下）,穐村　正治[作詞],テイチク,,A420,漫談、漫才,インターネット公開,保護期間満了
info:ndljp/pid/8267139,富山縣　やがえ節・さんさい踊,富山県高岡市有志,NHK　Vinycord,1952-07,VC-140-A,民謡、国民音楽（日本）,インターネット公開,保護期間満了
info:ndljp/pid/8270777,ワカナの国策百貨店（上）,穐村　正治[作詞],テイチク,,A420,漫談、漫才,インターネット公開,保護期間満了
info:ndljp/pid/8270776,トンカラリ運動会（下）,穐村　正治[作詞],テイチク,,A417,漫談、漫才,インターネット公開,保護期間満了
info:ndljp/pid/8267134,三宅島民謠　神興木遣・盆踊唄（入踊),坪田村有志,NHK　Vinycord,1952-05,VC-65-B,民謡、国民音楽（日本）,インターネット公開,保護期間満了
info:ndljp/pid/8267135,八丈島民謠　しょめ節,樫立村有志,NHK　Vinycord,1952-05,VC-67-A,民謡、国民音楽（日本）,インターネット公開,保護期間満了
info:ndljp/pid/8267136,八丈島民謠　春山節,三根村有志,NHK　Vinycord,1952-05,VC-67-B,民謡、国民音楽（日本）,インターネット公開,保護期間満了
info:ndljp/pid/8267137,八丈島民謠　太鼓ばやし・樫立手踊の唄,三根村有志,NHK　Vinycord,1952-01,VC-68-A,民謡、国民音楽（日本）,インターネット公開,保護期間満了
info:ndljp/pid/8267130,三宅島民謠　盆踊唄（奴踊・殿さ踊）,三宅村大字神着有志,NHK　Vinycord,1952-05,VC-62-A,民謡、国民音楽（日本）,インターネット公開,保護期間満了
info:ndljp/pid/8267131,三宅島民謠　三宅八景・雨乞唄,三宅村大字神着有志,NHK　Vinycord,1952-05,VC-62-B,民謡、国民音楽（日本）,インターネット公開,保護期間満了
info:ndljp/pid/8267132,三宅島民謠　神津節・ガッシャ　ガシャ,三宅村大字神着有志,NHK　Vinycord,1952-05,VC-63-A,民謡、国民音楽（日本）,インターネット公開,保護期間満了
info:ndljp/pid/8267133,三宅島民謠　姉ヶ潟節・江島節・江島節,三宅村大字神着有志,NHK　Vinycord,1952-05,VC-63-B,民謡、国民音楽（日本）,インターネット公開,保護期間満了
info:ndljp/pid/8267140,富山縣　田植唄・苗取唄,富山市有志,NHK　Vinycord,1939-03,VC-140-B,民謡、国民音楽（日本）,インターネット公開,保護期間満了
info:ndljp/pid/1314596,義太夫：野崎村（下）,豊竹　呂昇,ニッポノホン,1929-06,17237,三味線楽（浄瑠璃）,インターネット公開,保護期間満了
info:ndljp/pid/1314595,義太夫：野崎村（上）,豊竹　呂昇,ニッポノホン,1929-06,17237,三味線楽（浄瑠璃）,インターネット公開,保護期間満了
info:ndljp/pid/1314592,義太夫；近頃河原の達引(堀川の段）(お俊傳兵衛）（下）,豊竹　呂昇,ニッポノホン,,17196,三味線楽（浄瑠璃）,インターネット公開,保護期間満了
info:ndljp/pid/8270795,ヘッつい泥棒（四）,桂　春団治（初代）,テイチク,,603,落語,インターネット公開,保護期間満了
info:ndljp/pid/8270794,ヘッつい泥棒（三）,桂　春団治（初代）,テイチク,,603,落語,インターネット公開,保護期間満了
info:ndljp/pid/1314591,義太夫；近頃河原の達引(堀川の段）(お俊傳兵衛）（上）,豊竹　呂昇,ニッポノホン,,17196,三味線楽（浄瑠璃）,インターネット公開,保護期間満了
info:ndljp/pid/8267149,富山縣　四ツ竹節・しょっしょ,富山県東礪波郡平村有志,NHK　Vinycord,1952-07,VC-145-B,民謡、国民音楽（日本）,インターネット公開,保護期間満了
info:ndljp/pid/8267145,富山縣　松坂盆唄,富山県魚津市有志,NHK　Vinycord,1952-07,VC-143-B,民謡、国民音楽（日本）,インターネット公開,保護期間満了
info:ndljp/pid/8267146,富山縣　絲くり唄,富山県魚津市有志,NHK　Vinycord,1952-07,VC-144-A,民謡、国民音楽（日本）,インターネット公開,保護期間満了
info:ndljp/pid/8267147,富山縣　大漁節,富山県氷見市有志,NHK　Vinycord,,VC-144-B,民謡、国民音楽（日本）,インターネット公開,保護期間満了
info:ndljp/pid/8267148,富山縣　古代神（小代神・古代神）,富山県東礪波郡平村有志,NHK　Vinycord,1952-07,VC-145-A,民謡、国民音楽（日本）,インターネット公開,保護期間満了
info:ndljp/pid/8267141,富山縣　盆踊唄（木遣節・古代神）,富山市有志,NHK　Vinycord,1952-07,VC-141-A,民謡、国民音楽（日本）,インターネット公開,保護期間満了
info:ndljp/pid/8267142,富山縣　せり込み,富山県魚津市有志,NHK　Vinycord,1952-07,VC-142-A,民謡、国民音楽（日本）,インターネット公開,保護期間満了
info:ndljp/pid/8267143,富山縣　古大臣・蝶六,富山県魚津市有志,NHK　Vinycord,1952-07,VC-142-B,民謡、国民音楽（日本）,インターネット公開,保護期間満了
info:ndljp/pid/8267144,富山縣　まだら,富山県魚津市有志,NHK　Vinycord,1952-07,VC-143-A,民謡、国民音楽（日本）,インターネット公開,保護期間満了
info:ndljp/pid/8267192,島根縣　粉挽唄,仁多郡龜嵩村有志,コロムビア（NHK）,1950-07,PR1012,民謡、国民音楽（日本）,インターネット公開,保護期間満了
info:ndljp/pid/8267193,島根縣　味噌搗唄,仁多郡龜嵩村有志,コロムビア（NHK）,1950-07,PR1012,民謡、国民音楽（日本）,インターネット公開,保護期間満了
info:ndljp/pid/8267194,島根縣　餠搗唄（無伴奏・唄と三絃）,那賀郡江津町有志,コロムビア（NHK）,1950-08,PR1013,民謡、国民音楽（日本）,インターネット公開,保護期間満了
info:ndljp/pid/8267195,島根縣　石見博多節（無伴奏）・石見船唄（唄と三絃）,那賀郡江津町有志,コロムビア（NHK）,1950-08,PR1013,民謡、国民音楽（日本）,インターネット公開,保護期間満了
info:ndljp/pid/8267190,島根縣　田植唄,仁多郡龜嵩村有志,コロムビア（NHK）,1950-07,PR1012,民謡、国民音楽（日本）,インターネット公開,保護期間満了
info:ndljp/pid/8267191,島根縣　籾摺唄,仁多郡龜嵩村有志,コロムビア（NHK）,1950-07,PR1012,民謡、国民音楽（日本）,インターネット公開,保護期間満了
info:ndljp/pid/8267196,廣島縣　盆踊唄（きそん）,高田郡甲立町有志,コロムビア（NHK）,1950-08,PR1015,民謡、国民音楽（日本）,インターネット公開,保護期間満了
info:ndljp/pid/8267197,廣島縣　盆踊唄（扇子踊）,高田郡甲立町有志,コロムビア（NHK）,1950-08,PR1015,民謡、国民音楽（日本）,インターネット公開,保護期間満了
info:ndljp/pid/8267198,山口縣　馬子唄・石工唄,大津郡向津具村有志,コロムビア（NHK）,1950-08,PR1015,民謡、国民音楽（日本）,インターネット公開,保護期間満了
info:ndljp/pid/8267199,山口縣　金子唄,防府市中ノ関有志,コロムビア（NHK）,1950-08,PR1016,民謡、国民音楽（日本）,インターネット公開,保護期間満了
info:ndljp/pid/3576173,真白き富士の根,三角　錫子[作詞],コロムビア（戦前）,1935-10,28507,不明,インターネット公開,保護期間満了
info:ndljp/pid/8267170,靜岡縣　仕上げ唄・茶ひろい唄,静岡県志太郡堀内村有志,NHK　Vinycord,1952-11,VC-156-B,民謡、国民音楽（日本）,インターネット公開,保護期間満了
info:ndljp/pid/8267171,長野縣　追分馬子唄・正調追分節,長野県北佐久郡軽井沢町有志,NHK　Vinycord,,VC-157-A,民謡、国民音楽（日本）,インターネット公開,保護期間満了
info:ndljp/pid/8267172,長野縣　ささら踊（でんやさ）,長野県北佐久郡小諸町有志,NHK　Vinycord,,VC-157-B,民謡、国民音楽（日本）,インターネット公開,保護期間満了
info:ndljp/pid/8267173,長野縣　天ぶきの舞,長野県上高井郡保科村有志,NHK　Vinycord,,VC-158-A,民謡、国民音楽（日本）,インターネット公開,保護期間満了
info:ndljp/pid/8267178,山口縣　田植唄（朝唄）,玖珂郡廣瀨町有志,コロムビア（NHK）,1950-08,PR1009,民謡、国民音楽（日本）,インターネット公開,保護期間満了
info:ndljp/pid/8267179,山口縣　田植唄（晝唄）,玖珂郡廣瀨町有志,コロムビア（NHK）,1950-08,PR1009,民謡、国民音楽（日本）,インターネット公開,保護期間満了
info:ndljp/pid/8267174,長野縣　てんや節・田植唄,長野県諏訪郡ちの町有志,NHK　Vinycord,,VC-158-B,民謡、国民音楽（日本）,インターネット公開,保護期間満了
info:ndljp/pid/8267175,宮城縣　田植おどり（囃子・口上）,宮城県名取郡秋保村有志,NHK　Vinycord,1952-01,VC-159-A,民謡、国民音楽（日本）,インターネット公開,保護期間満了
info:ndljp/pid/8267176,宮城縣　田植おどり（入羽・太鼓田植）,宮城県名取郡秋保村有志,NHK　Vinycord,1952-01,VC-159-B,民謡、国民音楽（日本）,インターネット公開,保護期間満了
info:ndljp/pid/8267177,島根縣　田植囃子（短か唄・長唄・揚子唄）,那賀郡有福村有志,コロムビア（NHK）,1950-07,PR1009,民謡、国民音楽（日本）,インターネット公開,保護期間満了
info:ndljp/pid/8267181,島根縣　どっさり節,知夫郡浦鄕村有志,コロムビア（NHK）,1950-07,PR1010,民謡、国民音楽（日本）,インターネット公開,保護期間満了
info:ndljp/pid/8267182,島根縣　しげさ節,知夫郡浦鄕村有志,コロムビア（NHK）,1950-07,PR1010,民謡、国民音楽（日本）,インターネット公開,保護期間満了
info:ndljp/pid/8267183,島根縣　隱岐追分,知夫郡浦鄕村有志,コロムビア（NHK）,1950-07,PR1010,民謡、国民音楽（日本）,インターネット公開,保護期間満了
info:ndljp/pid/8267184,島根縣 えんやらや・隱岐小原節,知夫郡浦鄕村有志,コロムビア（NHK）,1950-07,PR1010,民謡、国民音楽（日本）,インターネット公開,保護期間満了
info:ndljp/pid/8267180,山口縣　田植唄（夕唄）,玖珂郡廣瀨町有志,コロムビア（NHK）,1950-08,PR1009,民謡、国民音楽（日本）,インターネット公開,保護期間満了
info:ndljp/pid/8267189,島根縣　苗取唄（下唄）,仁多郡龜嵩村有志,コロムビア（NHK）,1950-07,PR1012,民謡、国民音楽（日本）,インターネット公開,保護期間満了
info:ndljp/pid/8267185,島根縣　田植唄,安能郡川合村有志,コロムビア（NHK）,1950-07,PR1011,民謡、国民音楽（日本）,インターネット公開,保護期間満了
info:ndljp/pid/8267186,島根縣　餠搗唄,安能郡川合村有志,コロムビア（NHK）,1950-07,PR1011,民謡、国民音楽（日本）,インターネット公開,保護期間満了
info:ndljp/pid/8267187,島根縣　苗取唄・田植唄・田植唄（かつま）,能義郡山佐村有志,コロムビア（NHK）,1950-07,PR1011,民謡、国民音楽（日本）,インターネット公開,保護期間満了
info:ndljp/pid/8267188,島根縣　苗取唄（上唄）,仁多郡龜嵩村有志,コロムビア（NHK）,1950-07,PR1012,民謡、国民音楽（日本）,インターネット公開,保護期間満了
info:ndljp/pid/1314540,落語；結婚飛行（下）,柳家　小三治,ニッポノホン,1928-08,16967,落語,インターネット公開,保護期間満了
info:ndljp/pid/1314535,琵琶：常陸丸　（一）,高峰　筑風,ニッポノホン,1928-08,16962,琵琶楽,インターネット公開,保護期間満了
info:ndljp/pid/1326514,南京の花売娘,佐藤　惣之助[作詞],キングレコード,1946-09,C139,歌謡曲、流行歌、シャンソン、ジャズソング,インターネット公開,保護期間満了
info:ndljp/pid/1314538,琵琶：常陸丸　（四）,高峰　筑風,ニッポノホン,1928-08,16963,琵琶楽,インターネット公開,保護期間満了
info:ndljp/pid/1314539,落語；結婚飛行（上）,柳家　小三治,ニッポノホン,1928-08,16967,落語,インターネット公開,保護期間満了
info:ndljp/pid/1314536,琵琶：常陸丸　（二）,高峰　筑風,ニッポノホン,1928-08,16962,琵琶楽,インターネット公開,保護期間満了
info:ndljp/pid/1314537,琵琶：常陸丸　（三）,高峰　筑風,ニッポノホン,1928-08,16963,琵琶楽,インターネット公開,保護期間満了
info:ndljp/pid/1314521,箏曲；琴古流尺八　酒(上),吉田　晴風,ニッポノホン,1928-08,16948,筝曲,インターネット公開,保護期間満了
info:ndljp/pid/1314522,箏曲；琴古流尺八　酒(下),吉田　晴風,ニッポノホン,1928-08,16948,筝曲,インターネット公開,保護期間満了
info:ndljp/pid/8270808,がまの脂（下）,春風亭　柳好,テイチク,,T3318,落語,インターネット公開,保護期間満了
info:ndljp/pid/8270807,がまの脂（上）,春風亭　柳好,テイチク,,T3318,落語,インターネット公開,保護期間満了
info:ndljp/pid/2916725,鳥辺山,富崎　春昇,ビクター,1954-12,NH-2068,能楽、狂言、謡曲,インターネット公開,保護期間満了
info:ndljp/pid/8269859,落語：子讃め（下）,笑福亭　枝鶴,オリエント,1930-12,60366,落語,インターネット公開,保護期間満了
info:ndljp/pid/8269858,落語：子讃め（上）,笑福亭　枝鶴,オリエント,1930-12,60366,落語,インターネット公開,保護期間満了
info:ndljp/pid/8267208,山口縣　海女節,大津郡向津具村有志,コロムビア（NHK）,,PR1017,民謡、国民音楽（日本）,インターネット公開,保護期間満了
info:ndljp/pid/8267209,廣島縣　酒造唄（米洗い唄）,安藝郡三津杜氏有志,コロムビア（NHK）,,PR1018,民謡、国民音楽（日本）,インターネット公開,保護期間満了
info:ndljp/pid/8267204,島根縣　盆踊唄,鹿ノ足郡津和野町有志,コロムビア（NHK）,1950-08,PR1017,民謡、国民音楽（日本）,インターネット公開,保護期間満了
info:ndljp/pid/8267205,島根縣　盆踊唄,鹿ノ足郡津和野町有志,コロムビア（NHK）,1950-08,PR1017,民謡、国民音楽（日本）,インターネット公開,保護期間満了
info:ndljp/pid/8267206,山口縣　鯨唄,大津郡仙崎町有志,コロムビア（NHK）,,PR1017,民謡、国民音楽（日本）,インターネット公開,保護期間満了
info:ndljp/pid/8267207,山口縣　鯨唄,大津郡向津具村有志,コロムビア（NHK）,,PR1017,民謡、国民音楽（日本）,インターネット公開,保護期間満了
info:ndljp/pid/8267200,山口縣　塩汲唄,防府市中ノ関有志,コロムビア（NHK）,1950-08,PR1016,民謡、国民音楽（日本）,インターネット公開,保護期間満了
info:ndljp/pid/8267201,山口縣　金子唄,大島郡屋代島有志,コロムビア（NHK）,1950-08,PR1016,民謡、国民音楽（日本）,インターネット公開,保護期間満了
info:ndljp/pid/8267202,廣島縣　田植唄（土師節）,高田郡丹比村有志,コロムビア（NHK）,1950-08,PR1016,民謡、国民音楽（日本）,インターネット公開,保護期間満了
info:ndljp/pid/8267203,廣島縣　田植唄（赤名節）,高田郡丹比村有志,コロムビア（NHK）,1950-08,PR1016,民謡、国民音楽（日本）,インターネット公開,保護期間満了
info:ndljp/pid/3574040,於社長徴用令書傳達式　東條内閣總理大臣訓示（上）,,ニッチク,0000,AK945,講義、講演、演説,インターネット公開,保護期間満了
info:ndljp/pid/3574041,於社長徴用令書傳達式　東條内閣總理大臣訓示（下）,,ニッチク,0000,AK945,講義、講演、演説,インターネット公開,保護期間満了
info:ndljp/pid/3574042,官民に告ぐ（一）,内閣總理大臣　東條　英機,ニッチク,0000,AK946,文学作品以外の朗読、解説,インターネット公開,保護期間満了
info:ndljp/pid/3574043,官民に告ぐ（ニ）,内閣總理大臣　東條　英機,ニッチク,0000,AK946,文学作品以外の朗読、解説,インターネット公開,保護期間満了
info:ndljp/pid/3574044,官民に告ぐ（三）,内閣總理大臣　東條　英機,ニッチク,0000,AK947,文学作品以外の朗読、解説,インターネット公開,保護期間満了
info:ndljp/pid/3574045,官民に告ぐ（四）,内閣總理大臣　東條　英機,ニッチク,0000,AK947,文学作品以外の朗読、解説,インターネット公開,保護期間満了
info:ndljp/pid/3574036,於第四回中央協力會議　東條内閣總理大臣挨拶（一）,,ニッチク,0000,AK943,講義、講演、演説,インターネット公開,保護期間満了
info:ndljp/pid/3574037,於第四回中央協力會議　東條内閣總理大臣挨拶（ニ）,,ニッチク,0000,AK943,講義、講演、演説,インターネット公開,保護期間満了
info:ndljp/pid/3574038,於第四回中央協力會議　東條内閣總理大臣挨拶（三）,,ニッチク,0000,AK944,講義、講演、演説,インターネット公開,保護期間満了
info:ndljp/pid/3574039,於第四回中央協力會議　東條内閣總理大臣挨拶（四）,,ニッチク,0000,AK944,講義、講演、演説,インターネット公開,保護期間満了
info:ndljp/pid/3574024,謹話　神宮御親拜の儀を拜承し奉りて（三）,大政翼賛會副總裁　安藤　紀三郎,ニッチク,0000,AK-761,文学作品以外の朗読、解説,インターネット公開,保護期間満了
info:ndljp/pid/3574025,謹話　神宮御親拜の儀を拜承し奉りて（四）,大政翼賛會副總裁　安藤　紀三郎,ニッチク,0000,AK-761,文学作品以外の朗読、解説,インターネット公開,保護期間満了
info:ndljp/pid/3574026,謹話　神宮御親拜の儀を拜承し奉りて（五）,大政翼賛會副總裁　安藤　紀三郎,ニッチク,0000,AK-762,文学作品以外の朗読、解説,インターネット公開,保護期間満了
info:ndljp/pid/3574020,大東亞戰爭一周年記念　國民大會　中央大會　告辭（十）,内閣總理大臣　東條　英機,ニッチク,0000,AK-757,講義、講演、演説,インターネット公開,保護期間満了
info:ndljp/pid/3574022,謹話　神宮御親拜の儀を拜承し奉りて（一）,大政翼賛會副總裁　安藤　紀三郎,ニッチク,0000,AK-760,文学作品以外の朗読、解説,インターネット公開,保護期間満了
info:ndljp/pid/3574023,謹話　神宮御親拜の儀を拜承し奉りて（ニ）,大政翼賛會副總裁　安藤　紀三郎,ニッチク,0000,AK-760,文学作品以外の朗読、解説,インターネット公開,保護期間満了
info:ndljp/pid/3574013,大東亞戰爭一周年記念　國民大會　中央大會　告辭（三）,内閣總理大臣　東條　英機,ニッチク,0000,AK-753,講義、講演、演説,インターネット公開,保護期間満了
info:ndljp/pid/3574014,大東亞戰爭一周年記念　國民大會　中央大會　告辭（四）,内閣總理大臣　東條　英機,ニッチク,0000,AK-754,講義、講演、演説,インターネット公開,保護期間満了
info:ndljp/pid/3574015,大東亞戰爭一周年記念　國民大會　中央大會　告辭（五）,内閣總理大臣　東條　英機,ニッチク,0000,AK-754,講義、講演、演説,インターネット公開,保護期間満了
info:ndljp/pid/3574016,大東亞戰爭一周年記念　國民大會　中央大會　告辭（六）,内閣總理大臣　東條　英機,ニッチク,0000,AK-755,講義、講演、演説,インターネット公開,保護期間満了
info:ndljp/pid/3574017,大東亞戰爭一周年記念　國民大會　中央大會　告辭（七）,内閣總理大臣　東條　英機,ニッチク,0000,AK-755,講義、講演、演説,インターネット公開,保護期間満了
info:ndljp/pid/3574018,大東亞戰爭一周年記念　國民大會　中央大會　告辭（八）,内閣總理大臣　東條　英機,ニッチク,0000,AK-756,講義、講演、演説,インターネット公開,保護期間満了
info:ndljp/pid/3574019,大東亞戰爭一周年記念　國民大會　中央大會　告辭（九）,内閣總理大臣　東條　英機,ニッチク,0000,AK-756,講義、講演、演説,インターネット公開,保護期間満了
info:ndljp/pid/3574011,大東亞戰爭一周年記念　國民大會　中央大會　告辭（一）,内閣總理大臣　東條　英機,ニッチク,0000,AK-752,講義、講演、演説,インターネット公開,保護期間満了
info:ndljp/pid/3574012,大東亞戰爭一周年記念　國民大會　中央大會　告辭（二）,内閣總理大臣　東條　英機,ニッチク,0000,AK-753,講義、講演、演説,インターネット公開,保護期間満了
info:ndljp/pid/3574002,第二次ソロモン海戰に就て（二）,大本營海軍報道部課長　海軍大佐　平出　英夫,ニッチク,0000,AK-745,文学作品以外の朗読、解説,インターネット公開,保護期間満了
info:ndljp/pid/3574003,第二次ソロモン海戰に就て（三）,大本營海軍報道部課長　海軍大佐　平出　英夫,ニッチク,0000,AK-746,文学作品以外の朗読、解説,インターネット公開,保護期間満了
info:ndljp/pid/3574004,第二次ソロモン海戰に就て（四）,大本營海軍報道部課長　海軍大佐　平出　英夫,ニッチク,0000,AK-746,文学作品以外の朗読、解説,インターネット公開,保護期間満了
info:ndljp/pid/3574006,第二次ソロモン海戰に就て（五）,大本營海軍報道部課長　海軍大佐　平出　英夫,ニッチク,0000,AK-747,文学作品以外の朗読、解説,インターネット公開,保護期間満了
info:ndljp/pid/3574000,ソロモン海戰に就て（四）,大本營海軍報道部課長　海軍大佐　平出　英夫,ニッチク,0000,AK-744,文学作品以外の朗読、解説,インターネット公開,保護期間満了
info:ndljp/pid/3574001,第二次ソロモン海戰に就て（一）,大本營海軍報道部課長　海軍大佐　平出　英夫,ニッチク,0000,AK-745,文学作品以外の朗読、解説,インターネット公開,保護期間満了
info:ndljp/pid/3576650,義太夫：先代萩(上）,豊竹　呂昇,リーガル,0000,65038,三味線楽（浄瑠璃）,インターネット公開,保護期間満了
info:ndljp/pid/3576651,義太夫：先代萩(下）,豊竹　呂昇,リーガル,0000,65038,三味線楽（浄瑠璃）,インターネット公開,保護期間満了
info:ndljp/pid/3576643,義太夫：三十三間堂(下）,豊竹　呂昇,リーガル,0000,65034,三味線楽（浄瑠璃）,インターネット公開,保護期間満了
info:ndljp/pid/3576642,義太夫：三十三間堂(上）,豊竹　呂昇,リーガル,0000,65034,三味線楽（浄瑠璃）,インターネット公開,保護期間満了
info:ndljp/pid/3576645,義太夫：壷坂寺(下）,豊竹　呂昇,リーガル,0000,65035,三味線楽（浄瑠璃）,インターネット公開,保護期間満了
info:ndljp/pid/3576644,義太夫：壷坂寺(上）,豊竹　呂昇,リーガル,0000,65035,三味線楽（浄瑠璃）,インターネット公開,保護期間満了
info:ndljp/pid/3576647,義太夫：野崎村(下）,豊竹　呂昇,リーガル,0000,65036,三味線楽（浄瑠璃）,インターネット公開,保護期間満了
info:ndljp/pid/3576646,義太夫：野崎村(上）,豊竹　呂昇,リーガル,0000,65036,三味線楽（浄瑠璃）,インターネット公開,保護期間満了
info:ndljp/pid/3576649,義太夫：三勝半七(上）,豊竹　呂昇,リーガル,0000,65037,三味線楽（浄瑠璃）,インターネット公開,保護期間満了
info:ndljp/pid/3576648,義太夫：三勝半七(上）,豊竹　呂昇,リーガル,0000,65037,三味線楽（浄瑠璃）,インターネット公開,保護期間満了
info:ndljp/pid/3576641,義太夫：太閤記十段目（下）,豊竹　呂昇,リーガル,0000,65033,三味線楽（浄瑠璃）,インターネット公開,保護期間満了
info:ndljp/pid/3576640,義太夫：太閤記十段目（上）,豊竹　呂昇,リーガル,0000,65033,三味線楽（浄瑠璃）,インターネット公開,保護期間満了
info:ndljp/pid/1319082,奥州安達原 (五) 謙杖猶も,近松　半二[作詞],ビクター,1930-01,51038,三味線楽（浄瑠璃）,インターネット公開,保護期間満了
info:ndljp/pid/1319083,奥州安達原 (六) 中を隔つる白妙の,近松　半二[作詞],ビクター,1930-01,51038,三味線楽（浄瑠璃）,インターネット公開,保護期間満了
info:ndljp/pid/1319084,奥州安達原 (七) ようように顔をあげ,近松　半二[作詞],ビクター,1930-01,51039,三味線楽（浄瑠璃）,インターネット公開,保護期間満了
info:ndljp/pid/1320060,芦原節（二）,斉藤　佳三[作詞],ビクター,1930-11,51473,歌謡曲、流行歌、シャンソン、ジャズソング,インターネット公開,保護期間満了
info:ndljp/pid/1320058,動詞の活用（三） 不規則動詞　其の二,岡倉　由三郎,ビクター,1930-06,51316,教育・児童,インターネット公開,保護期間満了
info:ndljp/pid/1320059,動詞の活用（四） 規則動詞の過去の作り方,岡倉　由三郎,ビクター,1930-06,51316,教育・児童,インターネット公開,保護期間満了
info:ndljp/pid/1320052,英語講座　蛙（動物Ｂeの活用）,岡倉　由三郎,ビクター,1930-06,51314,教育・児童,インターネット公開,保護期間満了
info:ndljp/pid/1319063,新浦島 (五),坪内　逍遥[作詞],ビクター,1930-04,51132,三味線楽（長唄）,インターネット公開,保護期間満了
info:ndljp/pid/1320053,英語講座　犬（人称）,岡倉　由三郎,ビクター,1930-06,51314,教育・児童,インターネット公開,保護期間満了
info:ndljp/pid/1319064,新浦島 (六),坪内　逍遥[作詞],ビクター,1930-04,51132,三味線楽（長唄）,インターネット公開,保護期間満了
info:ndljp/pid/1320050,英語講座　一週間,岡倉　由三郎,ビクター,1930-06,51313,教育・児童,インターネット公開,保護期間満了
info:ndljp/pid/1319065,新浦島 (七),坪内　逍遥[作詞],ビクター,1930-04,51133,三味線楽（長唄）,インターネット公開,保護期間満了
info:ndljp/pid/1320051,英語講座　月,岡倉　由三郎,ビクター,1930-06,51313,教育・児童,インターネット公開,保護期間満了
info:ndljp/pid/1319066,新浦島 (八),坪内　逍遥[作詞],ビクター,1930-04,51133,三味線楽（長唄）,インターネット公開,保護期間満了
info:ndljp/pid/1320054,英語講座　動詞の活用（二） 不規則動詞　其の一,岡倉　由三郎,ビクター,1930-06,51315,教育・児童,インターネット公開,保護期間満了
info:ndljp/pid/2912900,箏曲：六段（上）,久本　玄智,コロムビア（戦前）,1935-05,28348,筝曲,インターネット公開,保護期間満了
info:ndljp/pid/2912901,箏曲：六段（下）,久本　玄智,コロムビア（戦前）,1935-05,28348,筝曲,インターネット公開,保護期間満了
info:ndljp/pid/1320049,英語講座　数,岡倉　由三郎,ビクター,1930-06,51312,教育・児童,インターネット公開,保護期間満了
info:ndljp/pid/1320047,ＡＢＣ（二）,岡倉　由三郎,ビクター,1930-06,51311,教育・児童,インターネット公開,保護期間満了
info:ndljp/pid/1320048,英語講座　時計,岡倉　由三郎,ビクター,1930-06,51312,教育・児童,インターネット公開,保護期間満了
info:ndljp/pid/1319060,新浦島 (二),坪内　逍遥[作詞],ビクター,1930-04,51130,三味線楽（長唄）,インターネット公開,保護期間満了
info:ndljp/pid/1319061,新浦島 (三),坪内　逍遥[作詞],ビクター,1930-04,51131,三味線楽（長唄）,インターネット公開,保護期間満了
info:ndljp/pid/1319062,新浦島 (四),坪内　逍遥[作詞],ビクター,1930-04,51131,三味線楽（長唄）,インターネット公開,保護期間満了
info:ndljp/pid/1319053,松前追分 (一) 前唄,不詳（PD）[作詞],ビクター,1934-05,53078,民謡、国民音楽（日本）,インターネット公開,保護期間満了
info:ndljp/pid/1319054,松前追分 (二) 本唄、後唄,不詳（PD）[作詞],ビクター,1934-05,53078,民謡、国民音楽（日本）,インターネット公開,保護期間満了
info:ndljp/pid/1320040,大利根小唄（二）,野口　雨情[作詞],ビクター,1930-10,51420,歌謡曲、流行歌、シャンソン、ジャズソング,インターネット公開,保護期間満了
info:ndljp/pid/1320046,ＡＢＣ（一）,岡倉　由三郎,ビクター,1930-06,51311,教育・児童,インターネット公開,保護期間満了
info:ndljp/pid/1319059,新浦島 (一),坪内　逍遥[作詞],ビクター,1930-04,51130,三味線楽（長唄）,インターネット公開,保護期間満了
info:ndljp/pid/1320038,英語の発音,岡倉　由三郎,ビクター,1930-06,51310,教育・児童,インターネット公開,保護期間満了
info:ndljp/pid/1320037,外国語の学習と我が国,岡倉　由三郎,ビクター,1930-06,51310,教育・児童,インターネット公開,保護期間満了
info:ndljp/pid/3574084,第八十三臨時帝國議會　戰況報告演説（一）（於衆議院）,陸軍大臣　東條　英機,ニッチク,0000,AK-978,講義、講演、演説,インターネット公開,保護期間満了
info:ndljp/pid/3574085,第八十三臨時帝國議會　戰況報告演説（二）（於衆議院）,陸軍大臣　東條　英機,ニッチク,0000,AK-978,講義、講演、演説,インターネット公開,保護期間満了
info:ndljp/pid/3574086,第八十三臨時帝國議會　戰況報告演説（三）（於衆議院）,陸軍大臣　東條　英機,ニッチク,0000,AK-979,講義、講演、演説,インターネット公開,保護期間満了
info:ndljp/pid/3574087,第八十三臨時帝國議會　戰況報告演説（四）（於衆議院）,陸軍大臣　東條　英機,ニッチク,0000,AK-979,講義、講演、演説,インターネット公開,保護期間満了
info:ndljp/pid/3574088,第八十三臨時帝國議會　戰況報告演説（七）（於衆議院）,陸軍大臣　東條　英機,ニッチク,0000,AK-981,講義、講演、演説,インターネット公開,保護期間満了
info:ndljp/pid/3574079,第八十三臨時帝國議會　施政方針演説（十）（於衆議院）,内閣總理大臣　東條　英機,ニッチク,0000,AK-977,講義、講演、演説,インターネット公開,保護期間満了
